timestamp,datetime,active_containers
1745850587.6360333,2025-04-28 14:29:47,0
1745850593.0175254,2025-04-28 14:29:53,2
1745850598.413829,2025-04-28 14:29:58,2
1745850603.9786303,2025-04-28 14:30:03,2
1745850609.3748114,2025-04-28 14:30:09,3
1745850614.8042357,2025-04-28 14:30:14,4
1745850620.7356324,2025-04-28 14:30:20,5
1745850627.2786384,2025-04-28 14:30:27,6
1745850632.990286,2025-04-28 14:30:32,6
1745850638.4479563,2025-04-28 14:30:38,7
1745850643.926895,2025-04-28 14:30:43,7
1745850649.2836628,2025-04-28 14:30:49,8
1745850654.6588783,2025-04-28 14:30:54,8
1745850660.0719259,2025-04-28 14:31:00,9
1745850665.6155407,2025-04-28 14:31:05,10
1745850671.3210952,2025-04-28 14:31:11,11
1745850676.705642,2025-04-28 14:31:16,11
1745850683.2848322,2025-04-28 14:31:23,12
1745850688.9955015,2025-04-28 14:31:28,12
1745850694.4645934,2025-04-28 14:31:34,13
1745850699.8605206,2025-04-28 14:31:39,14
1745850705.2438674,2025-04-28 14:31:45,15
1745850710.8173492,2025-04-28 14:31:50,16
1745850716.5776844,2025-04-28 14:31:56,17
1745850722.225226,2025-04-28 14:32:02,17
1745850727.8792973,2025-04-28 14:32:07,18
1745850733.4555752,2025-04-28 14:32:13,19
1745850739.056358,2025-04-28 14:32:19,20
1745850744.592271,2025-04-28 14:32:24,20
1745850750.7709641,2025-04-28 14:32:30,21
1745850757.4202342,2025-04-28 14:32:37,22
1745850764.0639424,2025-04-28 14:32:44,23
1745850769.7957337,2025-04-28 14:32:49,23
1745850775.1471996,2025-04-28 14:32:55,24
1745850780.5243049,2025-04-28 14:33:00,24
1745850786.2595315,2025-04-28 14:33:06,22
1745850791.9142292,2025-04-28 14:33:11,20
1745850797.359416,2025-04-28 14:33:17,17
1745850813.7395666,2025-04-28 14:33:33,5
1745850819.244714,2025-04-28 14:33:39,0
1745850824.5934045,2025-04-28 14:33:44,0
1745850829.895455,2025-04-28 14:33:49,0
1745850835.1870608,2025-04-28 14:33:55,0
1745850840.4696271,2025-04-28 14:34:00,0
1745850845.85568,2025-04-28 14:34:05,0
1745850851.1493628,2025-04-28 14:34:11,0
1745850856.4280608,2025-04-28 14:34:16,0
1745850861.7175033,2025-04-28 14:34:21,0
1745850867.0236857,2025-04-28 14:34:27,0
1745850872.3016546,2025-04-28 14:34:32,0
1745850877.5779676,2025-04-28 14:34:37,0
1745850883.0057135,2025-04-28 14:34:43,0
1745850888.2904658,2025-04-28 14:34:48,0
1745850893.5730352,2025-04-28 14:34:53,0
1745850898.852076,2025-04-28 14:34:58,0
1745850904.1317053,2025-04-28 14:35:04,0
1745850909.4150586,2025-04-28 14:35:09,0
