timestamp,datetime,active_containers
1745850315.947969,2025-04-28 14:25:15,0
1745850321.31936,2025-04-28 14:25:21,2
1745850326.659432,2025-04-28 14:25:26,2
1745850331.963589,2025-04-28 14:25:31,2
1745850337.352714,2025-04-28 14:25:37,2
1745850342.837228,2025-04-28 14:25:42,2
1745850348.2059433,2025-04-28 14:25:48,2
1745850353.6869571,2025-04-28 14:25:53,2
1745850359.0743058,2025-04-28 14:25:59,2
1745850364.5140781,2025-04-28 14:26:04,2
1745850369.7938883,2025-04-28 14:26:09,2
1745850375.188726,2025-04-28 14:26:15,2
1745850380.6035752,2025-04-28 14:26:20,2
1745850385.9854722,2025-04-28 14:26:25,2
1745850391.411602,2025-04-28 14:26:31,2
1745850396.8987327,2025-04-28 14:26:36,2
1745850402.4274132,2025-04-28 14:26:42,2
1745850407.7619426,2025-04-28 14:26:47,2
1745850413.3219354,2025-04-28 14:26:53,2
1745850418.7439926,2025-04-28 14:26:58,2
1745850424.4321494,2025-04-28 14:27:04,2
1745850429.9510732,2025-04-28 14:27:09,2
1745850435.7202437,2025-04-28 14:27:15,2
1745850441.1086502,2025-04-28 14:27:21,2
1745850446.3765473,2025-04-28 14:27:26,2
1745850451.887089,2025-04-28 14:27:31,2
1745850457.178568,2025-04-28 14:27:37,2
1745850462.7327147,2025-04-28 14:27:42,2
1745850468.0153258,2025-04-28 14:27:48,2
1745850473.4519174,2025-04-28 14:27:53,2
1745850478.7976933,2025-04-28 14:27:58,2
1745850484.1601818,2025-04-28 14:28:04,2
1745850489.5034728,2025-04-28 14:28:09,2
1745850495.5324874,2025-04-28 14:28:15,2
1745850500.894691,2025-04-28 14:28:20,2
1745850506.2513862,2025-04-28 14:28:26,2
