timestamp,datetime,active_containers
1745851813.0491772,2025-04-28 14:50:13,2
1745851818.2947614,2025-04-28 14:50:18,2
1745851823.6693947,2025-04-28 14:50:23,2
1745851829.0154247,2025-04-28 14:50:29,2
1745851834.383587,2025-04-28 14:50:34,2
1745851839.7659373,2025-04-28 14:50:39,2
1745851845.1160283,2025-04-28 14:50:45,2
1745851850.5685186,2025-04-28 14:50:50,2
1745851855.8640819,2025-04-28 14:50:55,2
1745851861.3379447,2025-04-28 14:51:01,2
1745851866.7165034,2025-04-28 14:51:06,2
1745851872.208645,2025-04-28 14:51:12,2
1745851877.640448,2025-04-28 14:51:17,2
1745851883.1781049,2025-04-28 14:51:23,2
1745851888.6020947,2025-04-28 14:51:28,2
1745851894.1396663,2025-04-28 14:51:34,2
1745851899.5992072,2025-04-28 14:51:39,2
1745851905.0639894,2025-04-28 14:51:45,2
1745851910.5166013,2025-04-28 14:51:50,2
1745851915.872817,2025-04-28 14:51:55,2
1745851921.3720274,2025-04-28 14:52:01,2
1745851926.8604193,2025-04-28 14:52:06,2
1745851932.4128435,2025-04-28 14:52:12,2
1745851937.7892551,2025-04-28 14:52:17,2
1745851943.3177736,2025-04-28 14:52:23,2
1745851948.894836,2025-04-28 14:52:28,2
1745851954.5700238,2025-04-28 14:52:34,2
1745851960.1596332,2025-04-28 14:52:40,2
1745851965.8216527,2025-04-28 14:52:45,2
1745851971.2250347,2025-04-28 14:52:51,2
1745851976.9074085,2025-04-28 14:52:56,2
1745851982.7302272,2025-04-28 14:53:02,2
1745851988.2670498,2025-04-28 14:53:08,2
1745851993.8909533,2025-04-28 14:53:13,2
1745851999.4264166,2025-04-28 14:53:19,2
1745852004.812408,2025-04-28 14:53:24,2
1745852010.0565012,2025-04-28 14:53:30,2
1745852016.1740508,2025-04-28 14:53:36,2
1745852021.55723,2025-04-28 14:53:41,2
1745852026.936936,2025-04-28 14:53:46,2
1745852032.3408515,2025-04-28 14:53:52,2
1745852037.702524,2025-04-28 14:53:57,2
1745852043.0905547,2025-04-28 14:54:03,2
1745852048.469925,2025-04-28 14:54:08,2
1745852053.8611896,2025-04-28 14:54:13,2
1745852059.2500145,2025-04-28 14:54:19,2
1745852064.6079478,2025-04-28 14:54:24,2
1745852069.9512424,2025-04-28 14:54:29,2
1745852075.3024209,2025-04-28 14:54:35,2
1745852080.6679256,2025-04-28 14:54:40,2
1745852086.0472639,2025-04-28 14:54:46,2
1745852091.3452175,2025-04-28 14:54:51,2
1745852096.7387233,2025-04-28 14:54:56,2
1745852102.1301594,2025-04-28 14:55:02,2
1745852107.5208333,2025-04-28 14:55:07,2
1745852112.8960533,2025-04-28 14:55:12,2
1745852118.3214884,2025-04-28 14:55:18,2
1745852123.7006311,2025-04-28 14:55:23,2
1745852129.1119885,2025-04-28 14:55:29,2
1745852134.598845,2025-04-28 14:55:34,2
1745852139.9914036,2025-04-28 14:55:39,2
1745852145.476615,2025-04-28 14:55:45,2
1745852150.9218342,2025-04-28 14:55:50,2
1745852156.2028482,2025-04-28 14:55:56,2
1745852161.608282,2025-04-28 14:56:01,2
1745852167.0161262,2025-04-28 14:56:07,2
1745852172.4353232,2025-04-28 14:56:12,2
1745852177.8644347,2025-04-28 14:56:17,2
1745852183.1392012,2025-04-28 14:56:23,2
1745852188.5416846,2025-04-28 14:56:28,2
1745852193.8933573,2025-04-28 14:56:33,2
1745852199.3059614,2025-04-28 14:56:39,2
1745852204.6814115,2025-04-28 14:56:44,2
1745852210.053123,2025-04-28 14:56:50,2
1745852215.4240294,2025-04-28 14:56:55,2
1745852220.7910645,2025-04-28 14:57:00,2
1745852226.139273,2025-04-28 14:57:06,2
1745852231.5169125,2025-04-28 14:57:11,2
1745852237.5535738,2025-04-28 14:57:17,2
